070,a,9,"whichever, whichsoever (of two)",
209990,L6049250,a,9,Suet,
209991,L5985908,n,9,the inhabitants of Regium,1696
209992,L7568345,n,9,the brother of Romulus,
209993,L6743040,n,9,a cognomen of the gens Marcia,2792
209994,L5475660,n,9,"an ancient name of the site of Alexandria in Egypt, form Rhacotes",
209995,L1296750,n,9,"a son of Jupiter and Europa, brother of Minos, a judge in the infernal regions",2775
209997,L4751542,n,9,an ancient and powerful king of Egypt,
209998,L5732041,n,9,a nymph in the train of Diana,
209999,L1057495,n,9,another name for Cybele,
210001,L2940380,a,9,"of or belonging to the Rhine, Rhenish",
210002,L6064993,n,9,"the son of a Muse, a king in Thrace, who was robbed of his horses and killed by Diomede and Ulysses before Troy",
210003,L5760960,n,9,a companion of Diomede,
210004,L1363073,n,9,a town on the borders of Syria and Egypt on the shore of the Mediterranean,2775
210005,L1685029,n,9,"the originator of travestied tragedy, a native of Tarentum",
210006,L6848287,n,9,Rhiphaean,
210007,L7430091,n,9,"a town of Dalmatia, upon the Gulf of Cattaro",2775
210008,L1490899,a,9,of or belonging to the Rhone,
210009,L3982772,n,9,a friend of Q,
210010,L4051020,n,9,"a mountain range in Thrace, a part of the Haemus, now Despoto Dagh",2775
210011,L2794807,n,9,"An island on the coast of Asia Minor, celebrated for its pure air, for its Colossus, its school of rhetoric, and the skill of its people in navigation",2775
210012,L1055251,n,9,one of the three summits of Mount Oeta,
210013,L9934721,a,9,"of or belonging to the promontory of Rhoeteum, Rhoetean",
210014,L3261837,n,9,"a town in Cilicia, where highly prized utensils were made",2775
210015,L3215144,n,9,a Scythian tribe in Eastern Europe,
210016,L7029681,n,9,"a river between Mysia and Bithynia, now the Mualitsch",2775
210017,L1453120,n,9,"a town and harbor of Mauretania Tingitana, now Melilla",2775
210018,L7366386,n,9,"a Centaur, killed by Theseus",
210019,L4119370,n,9,"a very fertile district near Reate, now Le Roscie",2775
210020,L1168810,n,9,"a city in Gallia Lugdunensis, now Rouen",2775
210021,L8687563,n,9,"a town in Apulia, now Ruvo",2775
210023,L7359644,n,9,"a river of Spain, which falls into the Mediterranean Sea",2775
210024,L3174744,n,9,"a town of the Samnites, on the borders of Campania, now Ruvo",2775
210025,L2996798,n,9,the Roman goddess of breastfeeding mothers and nursing infants,1666
210026,L4168256,n,9,a cognomen of the Pinarian family,2792
210027,L1776826,n,9,"a town of Gallia Narbonensis, on the Pyrenees, now Perpignan",2775
210028,L8554465,n,9,"a town of Etruria, now Rosello",2775
210029,L2462855,n,9,a town in Numidia,2775
210030,L5548044,n,9,a town of Zeugitana,2775
210031,L8909899,n,9,"a town and haven of the Cantii, in Britain, now Richborough, in Kent",2775
210032,L5166592,n,9,"the largest town in Arabia Felix, especially celebrated for its myrrh, frankincense, etc.",2775
210033,L4765760,n,9,"a city in Pannonia, a colony of the emperor Claudius, ",2775
210034,L8767794,n,9,"the inhabitants of a town in Campania, otherwise unknown",2775
210035,L6694819,a,9,of or belonging to Sabate,
210036,L8259953,a,9,"of or belonging to the Sabellians, Sabellian, Sabine",
210038,L1035359,n,9,a city in Arabia Felix,2775
210039,L4248299,n,9,"a town of Africa, near the Lesser Syrtis, now Sabart",2775
210040,L5284197,n,9,"a people of Northern Asia, a part of the Scythians",1696
210041,L4118706,n,9,"a town of Hispania Tarraconensis, celebrated for its flax",2775
210042,L4435161,n,9,"an important town of Pisidia, whose ruins are found near the modern Aghtasan",2775
210043,L4888083,n,9,a small river of Carmania,2775
210044,L7438937,n,9,"a river in Phrygia and Bitnynia, which empties into the Propontis, now the Sacari or Sacaria",2775
210086,L2393100,n,9,"a celebrated effeminate king of Assyria, who at last burned himself, together with his treasures",
210061,L9594565,n,9,"Solomon, son of David",
210047,L1675127,n,9,"the capital of Lower Egypt, now Sa el-Hajar",
210048,L2823193,n,9,"the island of Salamis, in the Saronic Gulf, opposite Eleusis, now Kuluri or Salamis",2775
210049,L4293507,n,9,"a city in Daunian Apulia, now Salpi",2775
210050,L7027416,a,9,"of or pertaining to Salarnum, now Salerno",
210051,L2462116,n,9,an Alpine tribe in the modern Savoy,
210052,L1108836,n,9,a lake in Lydia,
210053,L2857292,n,9,Salentine,
210054,L6144415,n,9,"a maritime town in the Picentine territory, now Salerno",2775
210055,L3547012,n,9,"a town of Boeotia, near the Euripus",2775
210056,L2686642,n,9,"the Salians, a part of the Franks",
210057,L8052328,n,9,"Sallust, a Roman name",
210058,L2186358,n,9,a Celtic or Ligurian tribe in Gallia,
210060,L3484792,n,9,"a river of Hispania Tarraconensis, near the town of Bilbilis, now the Xalon",2775
210062,L2312513,n,9,a people of Etruria,1696
210063,L6513413,n,9,a Roman cognomen of one Scipio,2792
210064,L6386167,n,9,the middle district of Palestine,2775
210065,L1996128,n,9,an island on the Arabian coast,2775
210066,L8768910,n,9,"An earlier name for the island of Cephalenia, in the Ionian Sea, the modern Cephalonia",2775
210067,L7475865,a,9,Samian,
210068,L6091627,a,9,"of or belonging to Samnium, Samnite",
210069,L7143086,n,9,"the capital of Commagene, on the western shore of the Euphrates, now Samosat",
210070,L6904257,n,9,"Samothrace, an island near the coast of Thrace, famous for the mystic worship of the Cabiri, now Samothraki",2775
210071,L6742516,n,9,a humorous designation of Pompey in Cicero's letters,
210073,L6011009,n,9,an island near Samos,2775
210074,L5735646,n,9,an ancient name of Sardinia,
210075,L6902830,n,9,a people in Pontus,
210076,L8521867,n,9,"a people of Aquitania, about the mouth of the Garumna, opposite to Burdigala, now Saintes, in the Départ",1696
210077,L6262917,n,9,a famous grammarian,
210078,L9151481,n,9,a mountain in Samothrace,2775
210079,L4438376,n,9,a Thracian people on the Propontis,
210080,L7795228,n,9,a city in Ethiopia on the Arabian gulf,2775
210081,L1280919,n,9,"a river in Cisalpine Gaul and Umbria, between Ravenna and Ariminum, now the Savio",2775
210082,L2943090,n,9,"a celebrated poetess, born at Mytilene, in the island of Lesbos, who, on account of her hopeless love for Phaon, threw herself from the Leucadian rock into the sea",2775
210083,L9964557,n,9,a harbor between Sybaris and Tarentum,
210084,L6294380,n,9,"the Saracens, a people of Arabia Felix",1696
210085,L2522912,n,9,a Sardinian woman,
210087,L9790524,n,9,"the very ancient capital of Lydia, on the Pactolus, the residence of Croesus",
210088,L1199274,n,9,a village in Thrace,
210089,L7489726,n,9,a Sarmatian,
210090,L6912587,n,9,"a river in Campania, near Pompeii, now the Sarno",2775
210091,L5511296,n,9,"a son of Jupiter and Europa, king of Lycia, who was killed by Patroclus before Troy",
210092,L3898396,a,9,of or belonging to Sarsina,
210093,L2307060,n,9,a friend of Antony,
210094,L8554039,n,9,"a small island near the promontory Acroceraunia, on the coast of Illyria, now Saseno",2775
210095,L3755128,n,9,the name of the mother of Cluentius,
210096,L7411410,n,9,"a town of Latium, in the neighborhood of Tibur",2775
210097,L9915873,n,9,"a town of Samnium, on the frontiers of Campania",2775
210099,L1056704,n,9,an epithet of Apollo meaning 'the lizard killer',
210100,L3361461,n,9,"a river in Pannonia, a tributary of the Danube, now the Save",2775
210101,L5219287,n,9,a Saxon,
210102,L7900524,n,9,"a river of Gallia Belgica, now the Scheldt",2775
210103,L6758040,n,9,"a river in Troas, the Scamander, now the Bunar-bashi Tchai",2775
210104,L4670971,n,9,"an island near Euboea, now Skantzoura",2775
210105,L8469800,n,9,a large and fruitful island in Northern Europe,2775
210106,L1203432,a,9,Scantian,
210107,L9661666,n,9,"a very ancient town in Latium, now Passerano",2775
210110,L3750673,a,9,relating to Scaurus,
210111,L4131539,n,9,a town in Mysia,2775
210112,L9587549,n,9,"the Sceptics, the disciples of Pyrrho",
210113,L6453875,n,9,"a king of Boeotia, father of Atalanta",
210115,L4100622,a,9,of the Scipios,
210116,L8966960,n,9,an Epicurean philosopher in Cicero's time,1545
210117,L1551303,n,9,"a town of Hispania Tarraconensis, probably in the territory of the Lacetani",2775
210118,L6722410,n,9,"a town of Dalmatia, now Scutari, on Lake Labeatis",2775
210119,L9752650,n,9,a city of Boeotia,2775
210120,L4504847,n,9,a famous Grecian sculptor of Paros,
210121,L6495981,n,9,a mountain of Illyria,2775
210122,L3884199,n,9,"the Scots, a people in the northern part of Britain, in the modern Scotland",
210123,L4137761,n,9,an epithet of Heraclitus,
210124,L8395742,n,9,"a river of Upper Italy, near Mutina, flowing into the Po, now Panaro",2775
210125,L9616245,n,9,a city of Macedonia,2775
210126,L6261225,n,9,"a town on the coast of Bruttium, now Squillace",2775
210127,L8763970,n,9,"a native of Halicarnassus, and friend of Panoetius",
210128,L2069332,n,9,"a celebrated rock between Italy and Sicily, opposite to Charybdis",
210129,L8536380,n,9,"a fabled people of India, with feet like serpents",1696
210130,L3215349,n,9,"an island of the Aegean Sea, opposite Euboea, now Skyro",2775
210131,L7319383,n,9,a Scythian,
210132,L9231986,n,9,"a town of Palestine, now Bysan",2775
210133,L4331050,n,9,a Scythian tribe in the Tauric Chersonesus,
210134,L7637677,a,9,"Augusta, a city in Samaria",2775
210136,L1056816,n,9,a city of Ethiopia,2775
210137,L8035100,a,9,"of or belonging to Segesta, Segestan",
210138,L4389134,n,9,a town of the Celtiberi,2775
210139,L6768874,n,9,"the chief town of the Celtiberians, near the modern Priego",2775
210141,L7962774,n,9,"daughter of Ptolemy Physco, and mother of Antiochus and Seleucus of Syria",
210142,L3145856,n,9,the name of several cities in Asia,
210143,L4379316,n,9,a kind of bird on Mount Casius,
210144,L4912638,n,9,the name of several kings of Syria,
210145,L1238354,n,9,"a town on the coast of Sicily, near Lilyboeum, now Pileri",2775
210146,L4408352,n,9,"a town of Laconia, on the river Oenus",2775
210147,L7565732,n,9,"a town of Thrace, on the Propontis",2775
210148,L5220277,n,9,"a daughter of Cadmus, and mother of Bacchus by Jupiter",
210149,L2649870,n,9,a half-Christian,
210150,L2750400,n,9,"half-German, semi-German",
210151,L7243980,n,9,"half-Greek, semi-Grecian",
210152,L3367885,n,9,"a half-Jew, half a Jew",
210153,L3622058,n,9,"a half-Placentine, half a Placentine",
210154,L2778347,n,9,"the celebrated queen of Assyria, consort and successor of Ninus",
210155,L2917985,n,9,"a field near Rome, where was a temple of Apollo",1666
210156,L8350512,a,9,of Sena,
210157,L9107872,n,9,a cognomen of the gens Annaea,2792
210158,L4367975,n,9,"a place in Dalmatia, noted for a curious cavern",2775
210160,L2883814,n,9,a promontory of Magnesia,
210161,L8094309,n,9,the month of September,
210162,L9822380,a,9,"of or belonging to a Septicius, Septician",
210163,L4104914,a,9,of or belonging to the feast of the Seven Hills,
210164,L3808801,n,9,"a village in Cilicia, on Mount Amanus",
210165,L3528416,n,9,"one of the principal rivers of Gallia Celtica, the Seine",2775
210166,L2701216,n,9,the name of an Egyptian ambassador to Rome,
210167,L8962021,n,9,"a people of Eastern Asia, celebrated for their silken fabrics",1696
210169,L3235210,n,9,"a people of Pannonia, on the Danube",1696
210170,L7697176,n,9,"a promontory in Thrace, with a fortification",
210171,L4058189,n,9,a celebrated king of Egypt,
210172,L3540203,n,9,the name of an Egyptian king,
210173,L1044035,n,9,"a city in Thrace, on the Hellespont, opposite Abydos, the residence of Hero",2775
210174,L8611236,n,9,"an ancient mountain-city in Latium, near the Pomptine Marshes, celebrated for its excellent wine, now Sezza",2775
210175,L8624573,a,9,of or belonging to a Sevius,
210177,L3255000,a,9,"of or belonging to Sex, a town of Hispania Baetica, Sexitan",2775
210178,L5570953,n,9,"sextus, sixth, only with mensis, of the month of August",
210179,L2384183,n,9,"a female soothsayer, a prophetess, Sibyl",
210181,L3100671,n,9,"a border-town on the east of Numidia, with a temple of Venus, now Kef",2775
210182,L3936093,n,9,"the Siculians or Sicilians, an ancient Italian people on the Tiber, a portion of whom, driven t",
210183,L1255609,a,9,"of or belonging to Sicyon, Sicyonian",
210184,L3967619,n,9,"a town in Pamphylia, now Eski Adalia",2775
210185,L2343061,n,9,"a people in Campania, whose chief town was Teanum, on the north-eastern side of Mount Massicus",2775
210186,L3290520,n,9,"Of or belonging to Sidon, Sidonian",
210187,L1075669,n,9,Ptol,
210188,L1531500,n,9,"a promontory in Troas, and a town of the same name, where Achilles was buried, now Yenishehr",2775
210189,L1083637,n,9,"an ancient town in Latium which produced an astringent wine, now Segni",2775
210190,L9701425,n,9,a mountain in Greater Phrygia,2775
210191,L7048839,n,9,"a large forest in the country of the Bruttii, which yielded great quantities of pitch",
210192,L8627373,n,9,a celebrated statuary,
210193,L3058469,n,9,a Roman cognomen in the Julian gens,2792
210195,L3107724,n,9,"Silenus, of or sacred to Silenus",1666
210196,L9199446,a,9,"Silenus, the tutor and constant attendant of Bacchus",
210197,L8379922,n,9,a mountain-tribe in Asia,2775
210198,L1572997,n,9,a city of Hispania Baetica,2775
210199,L1718263,n,9,a warlike people of Britain,1696
210200,L2323957,n,9,the name of several kings of Alba Longa,
210201,L6952097,n,9,the name of a famous statuary,
210202,L7068420,n,9,a celebrated lyric poet of Cos,
210203,L8809150,n,9,"the inhabitants of Sinda, a town of Pisidia, near Cibyra and the river Caularis",2775
210204,L9412845,n,9,a part of Scythia on the Black Sea,
210205,L3922900,n,9,an Indian name of the river Indus,2775
210206,L3953151,n,9,a river of Pontus,2775
210207,L9981159,n,9,"a city of Mesopotamia, the capital of the Arabes Praetavi",2775
210208,L8073816,n,9,"a city of Chalcidice, on the Aegean Sea",2775
210209,L5171960,a,9,of Sinnius,
210211,L9575927,n,9,"a colony of the Latins, formerly called Sinope, in Campania, now ruins near Monte Dragone",
210212,L8929745,n,9,"a city of Boeotia, on the borders of Phocis",2775
210213,L4312920,n,9,"one of the Cyclades, now Sifano",
210214,L4887363,n,9,an important maritime town in Appulia,2775
210215,L4858150,n,9,"a mountain on the frontiers of Lydia and Phrygia, on which Niobe was changed into stone, the modern Manisa Dagh, Prop",2775
210216,L5843594,n,9,a town of the Odomantic region in Thrace,2775
210217,L5008668,n,9,a city in Ethiopia,2775
